pop1,pop2,mean_pairwise_IBD_length,lat,long
Jew-Ethiopian,Belarusian,0.365,53.64,27.47
Spanish-South,Spanish-Catalonia,5.028,41.68,1.66
Turkmen,Pole,2.64,51.98,19.4
Jew-Moroccan,Norwegian,2.56,60.32,5.81
Latvia-AJ,Romanian,2.184,45.78,22.95
Jew-Kurdish,Chuvash,0.986,55.33,48.74
Tunisian,Turk-Northeast,0.827,41,39.73
Hemshin,Spanish-Valencia,1.402,39.02,-0.37
Syrian,Belarusian,1.273,53.64,27.47
Maltese,Uyghur-North,0.506,43.95,80.86
Jew-Turkish,Armenian,1.782,40.2,44.39
Lak,Ukranian-Central,2.507,50.47,30.3
Jew-Tunisian,Slovenian,1.449,46.15,15
Iranian-South,Georgian,1.099,41.96,42.06
Tunisian,Yemenite-Highlands,1.517,14.34,44.68
Jew-French,Hungary-AJ,113.212,47.5,19.08
Ukranian-East,Ingush,2.578,43.52,44.58
Darginian,Nogai,1.737,44.82,43.22
Uzbek-West,Sindhi,1.345,25.49,69
Ukranian-West,Corsican,3.628,42.04,9.01
Jew-French,Lak,2.487,42.17,47.12
Jew-Yemenite,Darginian,0.669,42.18,47.22
Spanish-South,Karakalpak,0.843,42.48,59.61
Jew-Iranian,Balkar,1.523,43.5,43.61
Cypriot,Lithuania-AJ,2.166,54.68,25.32
Assyrian-Caucasus,Veps,1.658,61.3,35.01
Jew-Libyan,Jew-Italian,5.484,41.9,12.48
Turk-West,Balkar,1.82,43.5,43.61
Jew-Yemenite,Jew-Bulgarian,1.551,42.68,23.32
general-AJ,Moldavian,2.878,46.51,29.66
Ukranian-East,Mordvin,12.323,54.49,44.21
Cypriot,Albanian,2.341,41.32,19.82
Russian-Southwest,Tabasaran,2.629,42.05,47.81
Jew-Ethiopian,Basque-France,0.227,43,0
Jew-Georgian,Komi,1.135,61.87,51.43
Iranian-South,Lak,1.204,42.17,47.12
Latvia-AJ,Russian-Central,2.907,57.19,38.52
Spanish-South,Poland-AJ,3.362,52.25,21
Turkmen,Sardinian,0.705,40,9
Latvia-AJ,Saudi,2.315,19.75,43.35
Jew-Kurdish,Ossetian,1.255,43.07,44.23
Tunisian,Russian-Northwest,1.519,57.59,28.73
Syrian,Basque-France,1.11,43,0
Hemshin,Moldavian,2.05,46.51,29.66
Jew-Moroccan,Abkhasian,1.864,43.04,40.93
Maltese,Spanish-Valencia,2.094,39.02,-0.37
Iranian-South,Germany-AJ,1.511,52.52,13.4
Jew-Turkish,Pole,2.289,51.98,19.4
Jew-Tunisian,Slovakian,1.789,48.67,19.7
Lak,Tabasaran,13.763,42.05,47.81
Ukranian-East,Chechen,3.001,43.33,45.65
Jew-French,Georgian,1.621,41.96,42.06
Tunisian,Spanish-Balearic,1.677,39.33,2.37
Uzbek-West,Italian-South,1.166,41.89,14.49
Jew-French,Punjabi,0.643,29.89,74.48
Darginian,Kyrgyz-North,0.836,43.12,81.15
Ukranian-West,Greek-South,4.101,37.9,23.7
Jew-Yemenite,Jew-Kurdish,1.518,36.34,43.15
Jew-Iranian,Kabardian,1.275,43.45,43.37
Spanish-South,Turk-Central,1.25,38.73,35.48
Cypriot,Roman-Iberia,1.971,40.67,-3.14
Assyrian-Caucasus,Norwegian,1.403,60.32,5.81
Jew-Libyan,Italian-Northwest,1.634,45.05,7.52
Turk-West,Kabardian,2.029,43.45,43.37
Jew-Yemenite,Hungary-AJ,1.538,47.5,19.08
Jew-Ethiopian,Croat,0.241,43.63,16.84
general-AJ,Jew-Azeri,2.098,40.88,48.02
Cypriot,Turk-Northeast,1.587,41,39.73
Ukranian-East,Ukraine-AJ,4.839,50.43,30.52
Jew-Georgian,Azeri,1.616,40.97,47.86
Russian-Southwest,Veps,12.718,61.3,35.01
Iranian-South,Punjabi,1.6,29.89,74.48
Turkmen,Baloch,1.567,30.5,66.5
Spanish-South,Russian-Central,3.155,57.19,38.52
Syrian,Croat,1.254,43.63,16.84
Latvia-AJ,Portuguese,2.238,39.4,-8.22
Jew-Kurdish,Turk-Northwest,1.244,40.4,28.56
Hemshin,Jew-Azeri,1.137,40.88,48.02
Tunisian,Latvian,1.203,56.91,24.1
Jew-Moroccan,Icelandic,3.074,64.13,-21.93
Maltese,Moldavian,1.48,46.51,29.66
Jew-Tunisian,Corsican,1.776,42.04,9.01
Iranian-South,Tatar-Volga,1.503,54.19,52.71
Jew-Turkish,Sardinian,1.786,40,9
Tunisian,Druze,1.184,32.05,35.02
Uzbek-West,Tuscan,1.138,43.36,11.12
Ukranian-East,Kurd,1.894,43.8,40.4
Darginian,Yemenite-Northwest,0.922,15.74,44.45
Lak,Veps,2.368,61.3,35.01
Jew-French,Lebanese-Christian,1.543,33.89,35.5
Jew-Yemenite,Jew-Iranian,1.79,35.7,51.42
Ukranian-West,Estonian,14.306,58.45,25.31
Jew-Iranian,Belarusian,1.572,53.64,27.47
Spanish-South,Moroccan,2.205,33.53,-7.58
Cypriot,Yemenite-Highlands,1.278,14.34,44.68
Assyrian-Caucasus,Abkhasian,1.396,43.04,40.93
Jew-Libyan,Ukranian-Central,1.506,50.47,30.3
Jew-Yemenite,Georgian,1.064,41.96,42.06
Jew-Ethiopian,Sicilian-West,0.366,38.02,12.52
Turk-West,Belarusian,2.619,53.64,27.47
general-AJ,Karachay,1.699,43.94,42.52
Cypriot,Russian-Northwest,1.57,57.59,28.73
Ukranian-East,Russia-AJ,3.96,55.75,37.62
Jew-Georgian,Armenian,1.402,40.2,44.39
Russian-Southwest,Norwegian,6.079,60.32,5.81
Iranian-South,Lebanese-Christian,1.433,33.89,35.5
Jew-French,Germany-AJ,153.395,52.52,13.4
Turkmen,Swede,1.713,59.31,18
Syrian,Sicilian-West,0.899,38.02,12.52
Tunisian,Gagauz,1.259,45.54,28.38
Jew-Kurdish,Egyptian,1.212,30.69,31.28
Hemshin,Karachay,2.349,43.94,42.52
Latvia-AJ,Spanish-North,1.78,43.05,-3.35
Maltese,Jew-Azeri,1.418,40.88,48.02
Iranian-South,Yemenite-Desert,1.165,16.48,50.03
Jew-Tunisian,Greek-South,0.979,37.9,23.7
Jew-Moroccan,Italian-North,3.029,46,10
Tunisian,Adygei,0.722,44.39,39.31
Jew-Turkish,Baloch,1.47,30.5,66.5
Ukranian-East,Avar,2.389,41.93,47.33
Uzbek-West,Slovenian,2.479,46.15,15
Jew-French,Bulgarian,2.39,42.16,24.74
Darginian,Jew-Bulgarian,1.696,42.68,23.32
Lak,Norwegian,2.411,60.32,5.81
Jew-Yemenite,Lak,0.606,42.17,47.12
Jew-Iranian,Basque-France,1.204,43,0
Ukranian-West,Russian-Arctic,10.505,63.43,45.1
Cypriot,Spanish-Balearic,2.273,39.33,2.37
Spanish-South,Romanian,2.643,45.78,22.95
Jew-Yemenite,Germany-AJ,1.454,52.52,13.4
Jew-Ethiopian,Udmurt,0.253,56.43,52.66
Assyrian-Caucasus,Icelandic,1.584,64.13,-21.93
Turk-West,Basque-France,2.021,43,0
Jew-Libyan,Tabasaran,1.377,42.05,47.81
Cypriot,Latvian,2.199,56.91,24.1
general-AJ,Jordanian,1.602,32.03,35.91
Jew-Georgian,Pole,1.272,51.98,19.4
Jew-French,Tatar-Volga,2.23,54.19,52.71
Ukranian-East,Bashkir,5.473,54.32,56.12
Russian-Southwest,Abkhasian,1.855,43.04,40.93
Iranian-South,Bulgarian,1.857,42.16,24.74
Syrian,Udmurt,1.033,56.43,52.66
Turkmen,Brahui,2.328,30.5,66.5
Jew-Kurdish,Komi,1.478,61.87,51.43
Latvia-AJ,French-Northeast,1.77,48.76,6.13
Tunisian,Bengali,0.269,23.51,89.9
Hemshin,Jordanian,1.464,32.03,35.91
Iranian-South,Lithuania-AJ,1.744,54.68,25.32
Maltese,Karachay,1.147,43.94,42.52
Jew-Tunisian,Estonian,1.46,58.45,25.31
Darginian,Jew-Kurdish,1.055,36.34,43.15
Tunisian,Tajik,0.529,38.41,69.6
Ukranian-East,Turk-South,2.122,37,35.32
Jew-French,Albanian,2.454,41.32,19.82
Darginian,Hungary-AJ,1.534,47.5,19.08
Jew-Moroccan,Circassian,1.208,44.28,41.55
Uzbek-West,Slovakian,2.161,48.67,19.7
Jew-Turkish,Swede,2.117,59.31,18
Jew-Yemenite,Punjabi,0.532,29.89,74.48
Jew-Iranian,Croat,1.356,43.63,16.84
Lak,Abkhasian,2.479,43.04,40.93
Cypriot,Druze,1.561,32.05,35.02
Ukranian-West,Karelian,10.995,60.85,32.14
Spanish-South,Saudi,1.094,19.75,43.35
Jew-Ethiopian,Belarus-AJ,0.409,53.9,27.57
Jew-Yemenite,Tatar-Volga,0.8,54.19,52.71
Assyrian-Caucasus,Italian-North,1.686,46,10
Turk-West,Croat,2.68,43.63,16.84
Jew-Libyan,Veps,1.782,61.3,35.01
Cypriot,Gagauz,2.269,45.54,28.38
general-AJ,Finn,3.877,60.39,24.49
Jew-French,Yemenite-Desert,1.406,16.48,50.03
Jew-Georgian,Sardinian,1.132,40,9
Iranian-South,Albanian,1.738,41.32,19.82
Russian-Southwest,Icelandic,6.01,64.13,-21.93
Ukranian-East,Spanish-Catalonia,3.873,41.68,1.66
Syrian,Belarus-AJ,1.55,53.9,27.57
Tunisian,French-North,1.129,50.18,2.37
Turkmen,Uzbek-East,2.569,41.18,69.22
Hemshin,Finn,2.464,60.39,24.49
Latvia-AJ,French-Northwest,2.525,48.25,-3.24
Jew-Kurdish,Azeri,1.24,40.97,47.86
Iranian-South,Roman-Iberia,1.361,40.67,-3.14
Darginian,Jew-Iranian,1.676,35.7,51.42
Maltese,Jordanian,1.368,32.03,35.91
Jew-Tunisian,Russian-Arctic,1.274,63.43,45.1
Ukranian-East,Karakalpak,2.417,42.48,59.61
Tunisian,Palestinian,1.604,32.13,35.04
Darginian,Georgian,1.893,41.96,42.06
Jew-French,Turk-Northeast,1.701,41,39.73
Uzbek-West,Corsican,1.155,42.04,9.01
Jew-Yemenite,Lebanese-Christian,1.371,33.89,35.5
Jew-Turkish,Brahui,1.244,30.5,66.5
Jew-Moroccan,Iranian-North,1.125,36.29,52.43
Jew-Iranian,Sicilian-West,1.668,38.02,12.52
Ukranian-West,Gujarati,0.812,23.2,72.7
Cypriot,Adygei,1.483,44.39,39.31
Spanish-South,Portuguese,4.036,39.4,-8.22
Lak,Icelandic,2.39,64.13,-21.93
Jew-Ethiopian,Sindhi,0.063,25.49,69
Jew-Yemenite,Yemenite-Desert,2.619,16.48,50.03
Turk-West,Sicilian-West,1.518,38.02,12.52
Assyrian-Caucasus,Circassian,1.193,44.28,41.55
Cypriot,Bengali,0.725,23.51,89.9
Jew-Georgian,Assyrian-Caucasus,1.226,40.21,44.34
Jew-Libyan,Norwegian,1.39,60.32,5.81
Syrian,Sindhi,0.788,25.49,69
general-AJ,Jew-Italian,41.585,41.9,12.48
Jew-Georgian,Baloch,0.606,30.5,66.5
Iranian-South,Turk-Northeast,1.564,41,39.73
Russian-Southwest,Italian-North,3.464,46,10
Tunisian,Ingush,0.473,43.52,44.58
Ukranian-East,Poland-AJ,4.19,52.25,21
Hemshin,Jew-Italian,1.696,41.9,12.48
Jew-Kurdish,Armenian,1.644,40.2,44.39
Latvia-AJ,Czech,3.279,50.1,14.4
Turkmen,Tatar-Siberia,3.423,57.75,67.71
Iranian-South,Yemenite-Highlands,1.007,14.34,44.68
Jew-Tunisian,Karelian,1.314,60.85,32.14
Maltese,Finn,2.259,60.39,24.49
Darginian,Lak,29.58,42.17,47.12
Darginian,Germany-AJ,1.522,52.52,13.4
Ukranian-East,Turk-Central,2.321,38.73,35.48
Tunisian,Mordvin,0.844,54.49,44.21
Jew-French,Russian-Northwest,2.502,57.59,28.73
Jew-French,Lithuania-AJ,106.083,54.68,25.32
Uzbek-West,Greek-South,1.017,37.9,23.7
Jew-Yemenite,Bulgarian,0.703,42.16,24.74
Ukranian-West,Pashtun,1.309,33.49,70.5
Jew-Turkish,Uzbek-East,0.604,41.18,69.22
Cypriot,Tajik,1.011,38.41,69.6
Spanish-South,Spanish-North,9.424,43.05,-3.35
Jew-Moroccan,BedouinB,1.787,31,35
Jew-Iranian,Udmurt,1.449,56.43,52.66
Jew-Ethiopian,Italian-South,0.263,41.89,14.49
Lak,Italian-North,1.739,46,10
Jew-Yemenite,Lithuania-AJ,1.836,54.68,25.32
Turk-West,Udmurt,3.052,56.43,52.66
Assyrian-Caucasus,Iranian-North,1.14,36.29,52.43
Cypriot,French-North,1.432,50.18,2.37
Jew-Georgian,Cypriot,1.207,35.13,33.43
Jew-Libyan,Abkhasian,1.228,43.04,40.93
Syrian,Italian-South,1.34,41.89,14.49
Jew-Georgian,Swede,1.528,59.31,18
Iranian-South,Russian-Northwest,1.718,57.59,28.73
general-AJ,Italian-Northwest,2.879,45.05,7.52
Russian-Southwest,Circassian,3.407,44.28,41.55
Tunisian,Chechen,0.573,43.33,45.65
Latvia-AJ,Assyrian-MiddleEast,1.38,37.27,44.21
Jew-Kurdish,Pole,1.479,51.98,19.4
Hemshin,Italian-Northwest,2.033,45.05,7.52
Iranian-South,Spanish-Balearic,1.544,39.33,2.37
Turkmen,Spanish-Central,1.339,40.36,-3.74
Jew-Tunisian,Gujarati,0.581,23.2,72.7
Darginian,Punjabi,0.456,29.89,74.48
Ukranian-East,Moroccan,1.491,33.53,-7.58
Jew-French,Latvian,3.475,56.91,24.1
Darginian,Tatar-Volga,2.248,54.19,52.71
Maltese,Jew-Italian,1.942,41.9,12.48
Uzbek-West,Estonian,2.944,58.45,25.31
Ukranian-East,Russian-Central,14.005,57.19,38.52
Tunisian,Ukraine-AJ,1.378,50.43,30.52
Jew-Yemenite,Albanian,1.703,41.32,19.82
Jew-French,Roman-Iberia,2.376,40.67,-3.14
Jew-Turkish,Tatar-Siberia,0.838,57.75,67.71
Jew-Ethiopian,Tuscan,0.348,43.36,11.12
Ukranian-West,Chuvash,7.319,55.33,48.74
Cypriot,Palestinian,1.532,32.13,35.04
Jew-Iranian,Belarus-AJ,2.643,53.9,27.57
Spanish-South,French-Northeast,2.941,48.76,6.13
Jew-Moroccan,Jew-Uzbek,1.823,41.31,69.29
Jew-Yemenite,Roman-Iberia,0.99,40.67,-3.14
Lak,Circassian,2.865,44.28,41.55
Turk-West,Belarus-AJ,2.292,53.9,27.57
Cypriot,Ingush,1.404,43.52,44.58
Jew-Georgian,Jew-Tunisian,1.294,36.8,10.18
Assyrian-Caucasus,BedouinB,1.637,31,35
Syrian,Tuscan,1.039,43.36,11.12
Jew-Libyan,Icelandic,1.847,64.13,-21.93
Iranian-South,Latvian,1.837,56.91,24.1
Jew-Georgian,Brahui,0.959,30.5,66.5
Russian-Southwest,Iranian-North,1.303,36.29,52.43
Tunisian,Kurd,2.024,43.8,40.4
general-AJ,Ukranian-Central,5.107,50.47,30.3
Latvia-AJ,Lebanese-Muslim,1.446,33.89,35.5
Iranian-South,Druze,1.144,32.05,35.02
Hemshin,Ukranian-Central,2.807,50.47,30.3
Jew-Tunisian,Pashtun,0.918,33.49,70.5
Jew-Kurdish,Sardinian,1.214,40,9
Turkmen,Hungarian,1.934,47.49,19.07
Jew-French,Gagauz,2.238,45.54,28.38
Darginian,Yemenite-Desert,0.613,16.48,50.03
Ukranian-East,Romanian,8.494,45.78,22.95
Darginian,Lebanese-Christian,1.005,33.89,35.5
Uzbek-West,Russian-Arctic,3.013,63.43,45.1
Maltese,Italian-Northwest,2.334,45.05,7.52
Jew-Yemenite,Turk-Northeast,1.833,41,39.73
Jew-French,Yemenite-Highlands,1.175,14.34,44.68
Tunisian,Russia-AJ,1.322,55.75,37.62
Jew-Ethiopian,Slovenian,0.359,46.15,15
Jew-Turkish,Spanish-Central,2.692,40.36,-3.74
Ukranian-West,Ossetian,2.92,43.07,44.23
Cypriot,Mordvin,1.721,54.49,44.21
Jew-Iranian,Sindhi,1.028,25.49,69
Spanish-South,French-Northwest,3.917,48.25,-3.24
Jew-Moroccan,Greek-North,2.081,40.64,22.94
Jew-Yemenite,Yemenite-Highlands,4.027,14.34,44.68
Turk-West,Sindhi,0.724,25.49,69
Lak,Iranian-North,0.899,36.29,52.43
Cypriot,Chechen,1.557,43.33,45.65
Jew-Georgian,general-AJ,1.558,52.23,21.02
Assyrian-Caucasus,Jew-Uzbek,1.25,41.31,69.29
Syrian,Slovenian,1.381,46.15,15
Jew-Libyan,Italian-North,2.282,46,10
Jew-Georgian,Uzbek-East,0.84,41.18,69.22
Iranian-South,Gagauz,1.5,45.54,28.38
Tunisian,Avar,0.662,41.93,47.33
Russian-Southwest,BedouinB,0.684,31,35
general-AJ,Tabasaran,2.105,42.05,47.81
Latvia-AJ,Hazara,1.281,33.5,70
Jew-Tunisian,Chuvash,1.193,55.33,48.74
Iranian-South,Adygei,1.46,44.39,39.31
Jew-Kurdish,Baloch,1.143,30.5,66.5
Hemshin,Tabasaran,2.048,42.05,47.81
Jew-French,Bengali,0.801,23.51,89.9
Darginian,Lithuania-AJ,1.616,54.68,25.32
Turkmen,Mozabite,0.485,32,3
Darginian,Bulgarian,2.047,42.16,24.74
Ukranian-East,Saudi,1.491,19.75,43.35
Uzbek-West,Karelian,2.439,60.85,32.14
Tunisian,Bashkir,0.697,54.32,56.12
Jew-Yemenite,Russian-Northwest,0.711,57.59,28.73
Maltese,Ukranian-Central,2.274,50.47,30.3
Jew-French,Spanish-Balearic,2.765,39.33,2.37
Jew-Ethiopian,Slovakian,0.446,48.67,19.7
Turkmen,Turk-West,2.0,37.92,27.75
Ukranian-West,Turk-Northwest,3.561,40.4,28.56
Jew-Turkish,Hungarian,2.066,47.49,19.07
Spanish-South,Czech,3.108,50.1,14.4
Jew-Iranian,Italian-South,1.512,41.89,14.49
Jew-Yemenite,Spanish-Balearic,1.192,39.33,2.37
Cypriot,Ukraine-AJ,2.203,50.43,30.52
Turk-West,Italian-South,1.708,41.89,14.49
Jew-Moroccan,German,2.257,51.48,10.37
Cypriot,Kurd,1.335,43.8,40.4
Lak,BedouinB,0.623,31,35
Jew-Georgian,Jew-Yemenite,1.243,15.35,44.2
Assyrian-Caucasus,Greek-North,1.373,40.64,22.94
Syrian,Slovakian,1.346,48.67,19.7
Iranian-South,Bengali,0.916,23.51,89.9
Jew-Georgian,Tatar-Siberia,0.846,57.75,67.71
Jew-Libyan,Circassian,1.124,44.28,41.55
Tunisian,Turk-South,0.968,37,35.32
Latvia-AJ,Kumyk,1.707,43.18,46.76
Russian-Southwest,Jew-Uzbek,1.383,41.31,69.29
general-AJ,Veps,3.851,61.3,35.01
Jew-Tunisian,Ossetian,1.003,43.07,44.23
Iranian-South,Tajik,1.677,38.41,69.6
Jew-Kurdish,Swede,1.457,59.31,18
Jew-French,French-North,1.817,50.18,2.37
Darginian,Roman-Iberia,1.593,40.67,-3.14
Ukranian-East,Portuguese,3.572,39.4,-8.22
Hemshin,Veps,2.578,61.3,35.01
Darginian,Albanian,2.058,41.32,19.82
Turkmen,Iranian-Central,1.24,31.43,51.07
Uzbek-West,Gujarati,1.043,23.2,72.7
Jew-Yemenite,Latvian,0.554,56.91,24.1
Jew-Ethiopian,Corsican,0.482,42.04,9.01
Jew-French,Druze,1.618,32.05,35.02
Tunisian,Spanish-Catalonia,1.347,41.68,1.66
Maltese,Tabasaran,1.725,42.05,47.81
Turkmen,Maltese,1.203,35.94,14.38
Ukranian-West,Egyptian,0.94,30.69,31.28
Jew-Turkish,Mozabite,1.494,32,3
Jew-Iranian,Tuscan,1.702,43.36,11.12
Spanish-South,Assyrian-MiddleEast,0.917,37.27,44.21
Jew-Yemenite,Druze,1.349,32.05,35.02
Cypriot,Russia-AJ,2.021,55.75,37.62
Turk-West,Tuscan,1.41,43.36,11.12
Jew-Moroccan,Somali,0.246,5.6,48.3
Cypriot,Avar,1.165,41.93,47.33
Jew-Georgian,Uzbek-West,0.565,41.55,60.63
Lak,Jew-Uzbek,1.116,41.31,69.29
Assyrian-Caucasus,German,1.25,51.48,10.37
Syrian,Corsican,0.929,42.04,9.01
Iranian-South,French-North,0.99,50.18,2.37
Jew-Georgian,Spanish-Central,0.913,40.36,-3.74
Jew-Libyan,Iranian-North,1.141,36.29,52.43
Tunisian,Karakalpak,0.354,42.48,59.61
Russian-Southwest,Greek-North,4.919,40.64,22.94
Jew-Tunisian,Turk-Northwest,1.416,40.4,28.56
Latvia-AJ,Orcadian,1.851,59,-3
general-AJ,Norwegian,3.346,60.32,5.81
Jew-Kurdish,Brahui,1.625,30.5,66.5
Iranian-South,Palestinian,1.451,32.13,35.04
Darginian,Yemenite-Highlands,0.741,14.34,44.68
Jew-French,Ingush,1.831,43.52,44.58
Ukranian-East,Spanish-North,4.156,43.05,-3.35
Uzbek-West,Pashtun,1.153,33.49,70.5
Darginian,Turk-Northeast,2.144,41,39.73
Hemshin,Norwegian,1.382,60.32,5.81
Turkmen,Romania-AJ,0.965,44.43,26.1
Jew-Ethiopian,Greek-South,0.308,37.9,23.7
Jew-Yemenite,Gagauz,0.985,45.54,28.38
Jew-French,Adygei,1.601,44.39,39.31
Tunisian,Poland-AJ,1.513,52.25,21
Maltese,Veps,2.523,61.3,35.01
Turkmen,Tunisian,0.325,36.82,10.17
Ukranian-West,Komi,9.35,61.87,51.43
Jew-Iranian,Slovenian,1.629,46.15,15
Jew-Turkish,Iranian-Central,1.13,31.43,51.07
Spanish-South,Lebanese-Muslim,1.338,33.89,35.5
Jew-Yemenite,Adygei,1.053,44.39,39.31
Cypriot,Bashkir,1.232,54.32,56.12
Turk-West,Slovenian,2.591,46.15,15
Jew-Georgian,Hemshin,1.236,41,39.7
Cypriot,Turk-South,1.579,37,35.32
Jew-Moroccan,Czechia-AJ,6.676,50.08,14.47
Assyrian-Caucasus,Somali,0.223,5.6,48.3
Lak,Greek-North,1.578,40.64,22.94
Syrian,Greek-South,1.061,37.9,23.7
Iranian-South,Ingush,1.404,43.52,44.58
Jew-Georgian,Hungarian,1.351,47.49,19.07
Jew-Libyan,BedouinB,1.89,31,35
Tunisian,Turk-Central,0.734,38.73,35.48
Russian-Southwest,German,9.96,51.48,10.37
Jew-Tunisian,Egyptian,1.137,30.69,31.28
Jew-Kurdish,Uzbek-East,0.974,41.18,69.22
Latvia-AJ,Uyghur-North,0.779,43.95,80.86
Iranian-South,Mordvin,1.315,54.49,44.21
Darginian,Spanish-Balearic,2.169,39.33,2.37
general-AJ,Abkhasian,1.494,43.04,40.93
Jew-French,Chechen,2.004,43.33,45.65
Uzbek-West,Chuvash,3.052,55.33,48.74
Darginian,Russian-Northwest,2.92,57.59,28.73
Jew-Ethiopian,Estonian,0.35,58.45,25.31
Turkmen,BedouinA,0.78,31,35
Ukranian-East,French-Northeast,3.823,48.76,6.13
Jew-French,Tajik,1.261,38.41,69.6
Jew-Yemenite,Bengali,0.477,23.51,89.9
Hemshin,Abkhasian,2.937,43.04,40.93
Tunisian,Russian-Central,1.121,57.19,38.52
Turkmen,Jew-Turkish,1.025,41.02,28.95
Maltese,Norwegian,2.47,60.32,5.81
Ukranian-West,Azeri,1.559,40.97,47.86
Jew-Yemenite,Tajik,0.784,38.41,69.6
Spanish-South,Hazara,0.938,33.5,70
Jew-Iranian,Slovakian,1.808,48.67,19.7
Jew-Georgian,Iranian-South,1.346,27.18,56.27
Turk-West,Slovakian,2.994,48.67,19.7
Cypriot,Spanish-Catalonia,1.963,41.68,1.66
Cypriot,Karakalpak,0.865,42.48,59.61
Jew-Turkish,Romania-AJ,14.533,44.43,26.1
Assyrian-Caucasus,Czechia-AJ,1.469,50.08,14.47
Jew-Moroccan,Lezgin,1.499,42.05,48.1
Lak,German,2.223,51.48,10.37
Syrian,Estonian,1.209,58.45,25.31
Iranian-South,Chechen,1.414,43.33,45.65
Jew-Georgian,Mozabite,0.916,32,3
Russian-Southwest,Somali,0.147,5.6,48.3
Tunisian,Moroccan,8.852,33.53,-7.58
Jew-Libyan,Jew-Uzbek,1.921,41.31,69.29
Latvia-AJ,Spanish-Valencia,2.059,39.02,-0.37
Jew-Tunisian,Komi,1.43,61.87,51.43
Jew-Kurdish,Tatar-Siberia,0.771,57.75,67.71
Iranian-South,Ukraine-AJ,1.758,50.43,30.52
Darginian,Druze,0.867,32.05,35.02
Jew-Ethiopian,Russian-Arctic,0.215,63.43,45.1
Uzbek-West,Ossetian,1.878,43.07,44.23
Jew-French,Kurd,1.775,43.8,40.4
Jew-French,Palestinian,1.483,32.13,35.04
general-AJ,Icelandic,3.524,64.13,-21.93
Darginian,Latvian,2.808,56.91,24.1
Ukranian-East,French-Northwest,4.978,48.25,-3.24
Jew-Yemenite,French-North,1.262,50.18,2.37
Hemshin,Icelandic,2.123,64.13,-21.93
Turkmen,Syrian,0.873,35.13,36.87
Turkmen,Nogai,3.529,44.82,43.22
Maltese,Abkhasian,1.431,43.04,40.93
Jew-Yemenite,Palestinian,1.417,32.13,35.04
Ukranian-West,Armenian,1.529,40.2,44.39
Jew-Iranian,Corsican,1.673,42.04,9.01
Spanish-South,Kumyk,1.941,43.18,46.76
Jew-Georgian,Ukranian-West,1.071,50.3,25.49
Turk-West,Corsican,1.747,42.04,9.01
Assyrian-Caucasus,Lezgin,1.304,42.05,48.1
Cypriot,Poland-AJ,2.103,52.25,21
Cypriot,Turk-Central,1.128,38.73,35.48
Jew-Moroccan,Kazakh-East,0.711,44,87.46
Jew-Turkish,BedouinA,1.378,31,35
Lak,Somali,0.125,5.6,48.3
Syrian,Russian-Arctic,1.192,63.43,45.1
Iranian-South,Kurd,1.204,43.8,40.4
Jew-Georgian,Iranian-Central,1.496,31.43,51.07
Jew-Libyan,Greek-North,1.978,40.64,22.94
Russian-Southwest,Czechia-AJ,2.988,50.08,14.47
Tunisian,Romanian,0.948,45.78,22.95
Jew-Tunisian,Azeri,0.948,40.97,47.86
Latvia-AJ,Moldavian,1.843,46.51,29.66
Jew-Kurdish,Spanish-Central,1.197,40.36,-3.74
Jew-Ethiopian,Karelian,0.144,60.85,32.14
Uzbek-West,Turk-Northwest,1.531,40.4,28.56
Iranian-South,Russia-AJ,1.781,55.75,37.62
Darginian,Adygei,2.081,44.39,39.31
Jew-French,Avar,1.373,41.93,47.33
Darginian,Gagauz,2.235,45.54,28.38
general-AJ,Italian-North,3.955,46,10
Jew-French,Mordvin,2.27,54.49,44.21
Jew-Yemenite,Ingush,0.69,43.52,44.58
Ukranian-East,Czech,11.588,50.1,14.4
Turkmen,Jew-Libyan,0.85,32.92,13.18
Hemshin,Italian-North,2.457,46,10
Jew-Turkish,Syrian,1.186,35.13,36.87
Jew-Yemenite,Mordvin,0.812,54.49,44.21
Turkmen,Kyrgyz-North,4.348,43.12,81.15
Jew-Iranian,Greek-South,1.431,37.9,23.7
Maltese,Icelandic,3.36,64.13,-21.93
Jew-Georgian,Russian-Southwest,1.189,51.34,36.86
Spanish-South,Orcadian,3.666,59,-3
Assyrian-Caucasus,Kazakh-East,0.471,44,87.46
Ukranian-West,Pole,14.261,51.98,19.4
Turk-West,Greek-South,1.719,37.9,23.7
Cypriot,Russian-Central,1.82,57.19,38.52
Cypriot,Moroccan,1.268,33.53,-7.58
Jew-Moroccan,Kazakh-West,0.474,51.8,67.16
Lak,Czechia-AJ,2.204,50.08,14.47
Jew-Turkish,Nogai,1.167,44.82,43.22
Syrian,Karelian,0.606,60.85,32.14
Iranian-South,Avar,1.581,41.93,47.33
Jew-Georgian,Romania-AJ,1.46,44.43,26.1
Jew-Libyan,German,1.255,51.48,10.37
Russian-Southwest,Lezgin,2.051,42.05,48.1
Jew-Ethiopian,Gujarati,0.023,23.2,72.7
Tunisian,Saudi,6.668,19.75,43.35
Jew-Tunisian,Armenian,1.374,40.2,44.39
Jew-Kurdish,Hungarian,1.495,47.49,19.07
Latvia-AJ,Jew-Azeri,2.343,40.88,48.02
Darginian,Bengali,1.019,23.51,89.9
